availability,performance,quality,speed,downtime_minutes,shutdown_minutes,machine_issue,trend,current_oee,future_oee,income,loss
84.85,84.23,97.83,10,5,13,0,0,69.92,69.7,4181,1819
80.0,97.05,97.59,14,15,6,0,0,75.77,73.47,4408,1592
97.97,99.5,98.86,13,1,5,0,0,96.37,96.68,5801,199
91.41,98.09,95.59,13,0,12,0,0,85.71,85.91,5154,846
78.73,90.64,100.0,11,14,9,0,0,71.36,72.24,4334,1666
68.42,98.28,100.0,13,17,21,0,0,67.24,67.78,4066,1934
80.89,52.23,79.39,18,15,4,0,-1,33.54,32.69,1961,4039
84.3,84.93,97.02,10,1,18,0,1,69.46,73.92,4435,1565
89.37,33.54,98.41,7,10,1,0,0,29.5,29.45,1766,4234
70.63,36.71,98.75,7,18,15,0,0,25.61,24.63,1477,4523
78.0,93.89,92.01,15,16,5,0,0,67.37,67.94,4076,1924
80.16,35.3,98.39,7,16,2,0,0,27.84,26.93,1615,4385
84.6,68.78,97.02,9,2,19,0,0,56.45,56.5,3390,2610
86.11,53.85,99.25,8,7,12,0,-1,46.02,42.41,2544,3456
76.69,82.21,88.87,16,7,18,0,0,56.03,55.82,3349,2651
86.26,82.59,88.13,16,1,19,0,1,62.78,64.96,3897,2103
69.91,70.38,82.27,17,18,18,0,1,40.47,44.13,2647,3353
79.73,96.95,99.31,11,6,21,0,1,76.77,81.31,4878,1122
80.54,81.78,95.19,10,8,12,0,1,62.71,64.88,3892,2108
81.69,70.76,84.24,17,9,14,0,0,48.7,46.49,2789,3211
95.78,100.0,98.51,12,2,0,0,0,94.35,93.94,5636,364
68.67,98.7,97.31,14,19,18,0,0,65.96,65.11,3906,2094
86.21,54.04,98.72,8,2,17,0,0,45.99,46.33,2779,3221
78.0,81.84,97.33,10,16,8,0,1,62.13,65.04,3902,2098
79.7,100.0,98.62,12,2,28,0,0,78.6,80.48,4828,1172
80.03,86.79,98.98,10,11,9,0,0,68.75,68.7,4121,1879
71.47,71.46,98.16,9,14,26,0,0,50.13,50.86,3051,2949
76.51,93.74,95.82,15,9,19,0,1,68.73,76.01,4560,1440
82.52,70.95,83.08,17,16,0,0,0,48.64,49.73,2984,3016
76.46,70.35,81.48,17,17,9,0,0,43.83,42.17,2530,3470
74.07,68.61,82.5,17,3,30,0,1,41.92,49.1,2946,3054
77.03,92.25,93.95,11,3,28,0,0,66.77,66.71,4002,1998
82.97,57.25,97.6,8,17,4,0,0,46.36,45.26,2715,3285
81.56,92.92,98.02,11,9,19,0,1,74.28,77.1,4626,1374
78.44,97.11,97.95,12,6,21,0,1,74.61,78.6,4716,1284
73.12,95.81,94.02,11,16,15,0,-1,65.87,63.95,3837,2163
83.49,34.46,95.89,7,2,20,0,0,27.58,26.81,1608,4392
92.7,100.0,99.08,13,8,1,0,0,91.85,90.72,5443,557
72.41,36.18,96.17,7,10,24,0,-1,25.19,23.38,1403,4597
79.97,93.69,97.46,11,5,23,0,-1,73.02,70.41,4224,1776
75.99,54.38,78.49,18,13,17,0,-1,32.43,29.14,1748,4252
83.32,57.1,96.94,8,4,17,0,1,46.12,46.85,2811,3189
68.18,100.0,94.88,12,18,17,0,0,64.69,66.38,3982,2018
83.38,72.0,97.94,9,13,4,0,1,58.8,62.07,3724,2276
78.85,98.09,98.46,12,1,28,0,1,76.16,77.88,4672,1328
78.56,70.83,83.03,17,7,21,0,0,46.2,46.55,2792,3208
72.49,53.04,98.61,8,11,24,0,0,37.92,36.22,2173,3827
74.08,94.77,95.5,15,13,19,0,1,67.05,73.06,4383,1617
74.74,81.24,97.06,10,5,25,0,1,58.93,64.2,3852,2148
96.78,98.49,97.08,13,0,5,0,0,92.54,91.13,5467,533
71.04,57.11,76.58,18,10,25,0,0,31.06,33.7,2021,3979
86.11,100.0,97.14,13,7,8,0,1,83.65,86.41,5184,816
90.32,53.59,77.95,18,3,12,0,0,37.73,39.5,2370,3630
81.16,34.08,98.95,7,15,7,0,0,27.37,28.34,1700,4300
77.21,83.3,97.89,10,14,11,0,0,62.96,63.58,3814,2186
88.67,94.02,98.84,11,7,7,0,0,82.4,83.48,5008,992
85.49,31.88,98.64,7,6,12,0,1,26.88,30.41,1824,4176
82.68,57.11,97.94,8,8,11,0,0,46.24,46.92,2815,3185
77.01,70.17,83.14,17,16,12,0,1,44.93,49.18,2950,3050
69.33,91.84,94.88,15,10,30,0,-1,60.42,57.41,3444,2556
84.57,93.19,99.55,11,5,18,0,0,78.46,76.97,4618,1382
97.02,94.93,97.22,11,1,3,0,0,89.55,90.96,5457,543
78.63,86.71,90.37,16,13,11,0,0,61.61,61.09,3665,2335
78.88,53.16,76.49,18,10,13,0,-1,32.08,26.89,1613,4387
88.55,93.27,95.33,15,3,12,0,-1,78.73,72.13,4327,1673
92.78,83.37,97.93,10,8,1,0,1,75.75,81.26,4875,1125
63.95,36.18,98.43,7,16,29,0,-1,22.78,20.01,1200,4800
85.37,70.09,82.04,17,6,11,0,-1,49.09,46.55,2793,3207
78.83,70.06,81.75,17,10,19,0,1,45.15,48.88,2932,3068
80.1,51.97,100.0,8,9,16,0,-1,41.63,40.19,2411,3589
80.68,99.22,98.43,13,10,12,0,1,78.8,83.92,5035,965
91.53,91.2,90.93,15,4,6,0,0,75.91,75.18,4510,1490
72.52,100.0,97.98,13,12,21,0,0,71.06,72.24,4334,1666
80.97,57.09,79.02,18,5,19,0,0,36.53,38.37,2302,3698
83.49,86.02,89.23,16,9,12,0,1,64.08,68.78,4126,1874
86.77,36.5,97.75,7,9,9,0,0,30.96,31.1,1866,4134
70.05,83.01,98.04,10,13,25,0,0,57.02,58.29,3497,2503
67.29,83.89,85.96,16,19,20,0,0,48.52,49.27,2956,3044
75.74,98.64,98.37,12,14,14,0,0,73.49,75.07,4504,1496
77.69,87.01,91.62,14,6,16,1,0,61.93,62.13,3727,2273
77.59,100.0,97.28,14,5,21,0,-1,75.47,73.26,4395,1605
67.25,91.75,92.8,15,20,19,0,1,57.26,58.57,3513,2487
83.55,82.99,96.16,10,9,7,0,0,66.67,66.49,3989,2011
97.68,86.42,97.67,10,4,0,0,0,82.45,81.3,4878,1122
80.66,38.52,99.35,7,7,15,0,0,30.87,30.66,1839,4161
88.31,83.34,89.43,16,2,14,0,-1,65.82,61.82,3708,2292
78.2,70.74,84.06,17,18,6,0,1,46.5,52.1,3126,2874
75.18,100.0,99.87,13,15,12,0,1,75.09,78.56,4713,1287
80.96,69.69,80.96,17,0,28,0,-1,45.68,40.36,2421,3579
79.71,56.13,97.05,8,13,7,0,-1,43.42,41.71,2502,3498
73.94,53.62,81.71,18,16,14,0,-1,32.4,29.7,1782,4218
87.76,84.76,97.96,10,3,14,0,0,72.87,72.3,4337,1663
74.9,71.15,98.79,9,14,21,0,-1,52.65,50.31,3018,2982
72.69,92.88,92.6,15,19,10,0,0,62.51,62.42,3745,2255
63.09,96.07,99.48,14,19,26,0,0,60.3,60.93,3655,2345
75.31,53.4,80.72,18,16,13,0,-1,32.46,27.5,1649,4351
65.53,94.98,93.17,15,14,28,0,0,57.99,58.94,3536,2464
75.8,75.57,97.45,9,15,14,0,0,55.82,56.02,3361,2639
73.25,91.74,98.93,11,7,26,0,-1,66.48,63.06,3783,2217
69.6,94.31,91.31,15,15,20,0,0,59.93,60.5,3629,2371
83.84,83.58,99.4,10,8,14,0,-1,69.65,68.21,4092,1908
85.06,96.8,97.84,11,7,8,0,0,80.56,82.34,4940,1060
67.95,97.05,99.2,12,10,28,0,1,65.42,69.76,4185,1815
93.17,72.75,98.6,9,4,7,0,0,66.83,66.15,3968,2032
81.09,99.42,95.52,13,4,22,0,-1,77.0,74.1,4445,1555
76.65,100.0,96.27,13,13,10,0,0,73.79,74.11,4446,1554
78.11,90.31,94.66,15,14,13,0,1,66.78,68.32,4098,1902
66.07,99.46,94.86,13,12,28,0,1,62.33,67.66,4059,1941
82.07,52.22,76.74,18,0,27,0,0,32.89,33.41,2004,3996
78.77,86.25,89.82,16,12,15,0,-1,61.02,58.91,3534,2466
73.75,98.96,97.51,12,9,24,0,0,71.16,70.61,4236,1764
74.9,97.93,97.72,13,13,17,0,0,71.68,72.13,4327,1673
65.71,55.91,77.8,18,17,25,0,-1,28.58,25.25,1515,4485
78.79,84.61,96.59,10,15,7,0,0,64.39,65.04,3902,2098
76.91,91.5,99.61,11,13,15,0,1,70.1,72.05,4323,1677
71.85,100.0,99.44,12,12,23,0,0,71.45,71.76,4305,1695
66.0,72.1,96.39,9,14,29,0,-1,45.86,44.02,2641,3359
81.84,84.39,89.51,16,17,0,0,0,61.82,61.57,3694,2306
70.25,100.0,95.47,13,18,18,0,0,67.07,66.13,3967,2033
99.68,72.47,84.93,17,0,2,0,1,61.36,65.67,3940,2060
80.58,67.91,96.67,9,14,5,0,0,52.9,54.46,3267,2733
81.66,34.0,98.25,7,8,12,0,-1,27.28,23.27,1396,4604
79.63,96.83,98.09,14,10,10,0,0,75.63,76.76,4605,1395
73.46,96.93,100.0,13,8,24,0,-1,71.21,63.58,3815,2185
74.82,100.0,97.62,13,8,26,0,0,73.04,73.43,4405,1595
84.72,56.11,97.95,8,15,0,0,-1,46.56,40.61,2436,3564
85.56,33.97,95.13,7,11,7,0,0,27.64,28.04,1682,4318
80.3,68.03,82.8,17,2,24,0,0,45.23,45.07,2704,3296
84.97,71.64,83.24,17,1,24,0,-1,50.67,47.61,2856,3144
77.9,83.65,97.13,10,6,26,0,1,63.29,65.44,3926,2074
92.01,71.97,97.57,9,7,4,0,1,64.61,68.91,4134,1866
62.72,54.4,97.59,8,18,30,0,0,33.3,34.05,2042,3958
71.8,82.68,100.0,10,14,22,0,1,59.37,61.56,3693,2307
85.03,95.72,98.79,12,5,19,0,0,80.41,79.68,4780,1220
82.04,87.05,85.69,16,3,24,0,-1,61.19,56.19,3371,2629
84.87,92.8,98.62,11,3,18,0,0,77.67,76.9,4613,1387
79.86,37.41,98.45,7,9,18,0,0,29.41,28.88,1732,4268
77.95,69.78,82.12,17,12,12,0,0,44.67,44.47,2668,3332
91.67,56.4,79.55,18,6,2,0,-1,41.13,36.87,2212,3788
89.14,68.73,84.04,17,7,3,0,0,51.49,53.44,3206,2794
72.24,53.64,76.51,18,9,27,0,0,29.65,30.28,1816,4184
65.88,70.59,84.97,17,19,25,0,-1,39.51,35.81,2148,3852
90.5,80.99,88.11,16,1,11,0,1,64.58,69.49,4169,1831
86.48,71.65,82.21,17,11,2,0,0,50.94,51.3,3077,2923
71.39,91.02,91.94,15,20,10,0,1,59.75,61.56,3693,2307
81.63,96.8,100.0,13,15,3,0,0,79.01,77.88,4672,1328
75.38,100.0,97.42,13,11,20,0,1,73.43,79.46,4767,1233
86.24,100.0,98.85,14,4,13,0,-1,85.25,83.15,4988,1012
72.62,92.09,91.45,15,20,8,0,-1,61.16,58.01,3480,2520
61.24,81.74,86.81,15,15,14,1,0,43.46,43.16,2589,3411
74.8,99.39,97.09,13,18,8,0,0,72.18,71.99,4319,1681
74.88,99.26,97.89,12,7,26,0,-1,72.77,67.51,4050,1950
79.69,92.51,96.19,11,14,7,0,0,70.91,71.51,4290,1710
68.38,100.0,98.22,14,18,19,0,0,67.16,66.83,4009,1991
68.16,65.16,72.92,17,12,10,1,-1,32.38,30.27,1816,4184
85.25,100.0,96.43,12,5,15,0,0,82.21,82.0,4920,1080
70.74,81.46,99.81,10,11,25,0,0,57.51,57.2,3431,2569
84.36,92.45,97.41,11,10,8,0,1,75.97,81.48,4888,1112
80.26,52.76,76.51,18,8,17,0,1,32.4,34.41,2064,3936
91.31,83.72,99.75,10,2,7,0,0,76.26,75.39,4523,1477
75.19,50.45,78.43,18,13,15,0,0,29.75,29.95,1797,4203
69.94,83.78,84.13,15,7,22,1,1,49.29,54.12,3247,2753
77.15,58.12,78.05,18,15,14,0,1,35.0,39.42,2365,3635
89.12,55.27,97.45,8,9,7,0,0,48.0,48.19,2891,3109
84.68,98.06,99.8,13,7,9,0,-1,82.87,77.56,4653,1347
74.88,99.64,99.49,12,15,17,0,-1,74.23,69.35,4160,1840
75.52,99.5,99.99,13,17,10,0,0,75.13,75.69,4541,1459
79.43,100.0,98.09,12,14,8,0,0,77.91,78.18,4690,1310
87.91,94.95,97.45,11,8,7,0,0,81.34,80.5,4829,1171
85.43,51.07,100.0,8,6,10,0,-1,43.63,40.05,2402,3598
90.47,92.25,93.46,15,5,6,0,-1,78.0,75.95,4556,1444
75.65,98.77,97.63,14,8,23,0,1,72.94,78.91,4734,1266
75.69,95.15,93.27,15,19,9,0,0,67.17,65.88,3952,2048
75.12,47.2,90.26,8,6,9,1,1,32.01,34.94,2096,3904
88.15,71.36,100.0,9,9,0,0,0,62.9,63.53,3811,2189
79.27,55.96,77.62,18,17,4,0,0,34.43,34.41,2064,3936
100.0,91.95,98.39,11,1,1,0,0,90.47,89.07,5344,656
74.83,90.58,93.42,15,9,22,0,0,63.32,64.77,3886,2114
58.93,68.99,97.32,9,20,27,0,1,39.56,43.75,2625,3375
86.17,50.81,98.88,8,0,18,0,1,43.3,46.77,2806,3194
81.52,96.7,99.75,14,14,10,0,0,78.63,78.06,4683,1317
96.72,70.61,98.19,9,1,8,0,0,67.06,66.37,3982,2018
81.25,100.0,97.06,14,3,26,0,0,78.86,79.69,4781,1219
79.17,53.7,99.42,8,12,15,0,0,42.27,42.95,2577,3423
67.35,53.23,96.74,8,18,20,0,0,34.68,34.54,2072,3928
96.48,72.35,85.79,17,1,4,0,0,59.89,58.82,3528,2472
62.72,70.59,99.8,9,18,30,0,-1,44.19,39.03,2342,3658
82.98,81.45,97.21,10,3,17,0,-1,65.7,61.42,3685,2315
65.05,83.41,87.45,16,19,25,0,0,47.45,47.85,2870,3130
74.53,83.7,88.31,16,7,24,0,0,55.09,54.71,3282,2718
79.55,94.36,93.53,15,12,14,0,0,70.21,69.11,4146,1854
72.63,98.44,96.54,14,9,27,0,1,69.02,72.48,4349,1651
77.14,98.15,97.54,13,9,18,0,1,73.86,79.91,4794,1206
75.21,83.77,88.15,16,3,30,0,-1,55.54,49.36,2961,3039
88.77,71.37,84.05,17,6,8,0,0,53.26,53.35,3201,2799
95.83,69.36,81.33,17,2,5,0,0,54.06,54.63,3277,2723
83.22,84.5,96.79,10,5,17,0,0,68.06,67.74,4064,1936
95.95,54.1,99.53,8,5,0,0,-1,51.66,50.69,3041,2959
70.06,55.3,78.57,18,19,15,0,1,30.44,35.42,2125,3875
73.7,83.68,97.33,10,9,22,0,0,60.03,62.04,3722,2278
83.53,92.95,100.0,11,14,2,0,0,77.64,77.7,4661,1339
71.76,72.4,81.94,17,7,29,0,-1,42.57,39.0,2340,3660
65.13,71.39,82.46,17,18,21,0,1,38.34,44.07,2644,3356
84.81,82.33,98.13,10,13,3,0,1,68.51,73.57,4414,1586
77.26,72.21,84.96,17,4,29,0,-1,47.4,43.77,2626,3374
81.63,62.56,93.22,9,2,1,1,-1,47.6,45.47,2728,3272
65.63,91.11,97.03,11,19,23,0,0,58.02,59.05,3542,2458
80.7,82.99,86.57,16,9,14,0,1,57.98,60.9,3653,2347
75.64,57.82,77.88,18,9,22,0,0,34.06,34.51,2070,3930
65.39,92.86,90.31,13,8,16,1,0,54.84,57.43,3445,2555
73.99,93.99,93.41,15,15,14,0,-1,64.96,62.94,3776,2224
70.44,31.29,97.75,7,13,23,0,0,21.55,22.85,1371,4629
74.65,100.0,98.82,12,19,8,0,0,73.77,72.93,4375,1625
92.25,34.38,97.01,7,2,7,0,-1,30.77,22.89,1373,4627
58.72,86.29,87.85,16,18,30,0,0,44.51,45.74,2744,3256
71.71,30.0,86.86,7,8,18,1,0,18.69,19.21,1152,4848
84.69,39.08,96.5,7,5,15,0,0,31.94,31.26,1875,4125
70.97,93.16,93.53,15,20,14,0,0,61.84,62.32,3739,2261
83.01,92.32,99.01,11,5,18,0,0,75.88,77.78,4666,1334
63.46,99.76,94.74,13,20,26,0,0,59.98,60.83,3649,2351
74.3,86.59,93.43,14,2,15,1,-1,60.11,56.28,3377,2623
76.63,97.15,98.99,12,10,21,0,1,73.69,75.73,4543,1457
79.53,71.38,95.17,9,10,13,0,0,54.03,53.74,3224,2776
80.28,53.27,78.64,18,15,9,0,0,33.63,34.53,2071,3929
70.9,69.9,83.12,17,12,26,0,1,41.2,45.77,2746,3254
70.19,30.0,87.93,7,14,2,1,1,18.52,22.42,1344,4656
76.15,99.56,97.02,12,3,24,0,0,73.55,71.72,4302,1698
65.59,100.0,100.0,13,16,26,0,0,65.59,66.91,4014,1986
73.31,32.0,97.63,7,17,14,0,0,22.9,22.06,1323,4677
94.98,100.0,98.07,13,1,6,0,0,93.15,94.84,5690,310
74.59,90.16,92.08,15,11,19,0,-1,61.92,56.86,3411,2589
67.09,71.03,80.74,17,14,24,0,0,38.48,39.24,2354,3646
87.94,33.7,98.48,7,6,8,0,0,29.18,30.52,1831,4169
75.46,94.14,93.32,15,4,29,0,0,66.29,65.54,3932,2068
68.01,92.84,100.0,11,14,28,0,0,63.15,63.09,3785,2215
72.62,44.1,69.93,18,15,3,1,-1,22.39,20.79,1247,4753
63.72,69.97,81.94,17,19,25,0,1,36.53,39.83,2389,3611
77.77,70.59,100.0,9,9,17,0,0,54.89,54.4,3264,2736
74.67,34.86,99.84,7,17,13,0,-1,25.99,24.77,1486,4514
65.31,56.52,98.57,8,14,30,0,0,36.38,37.02,2221,3779
61.89,53.51,95.45,8,20,26,0,1,31.61,33.58,2014,3986
76.86,56.47,79.28,18,9,16,0,0,34.41,35.7,2141,3859
85.66,53.51,76.58,18,8,13,0,0,35.1,34.01,2040,3960
80.89,99.18,95.27,14,15,7,0,0,76.43,75.74,4544,1456
82.58,99.76,96.52,14,17,4,0,0,79.51,80.99,4859,1141
72.25,99.14,98.07,13,6,29,0,0,70.25,70.09,4205,1795
67.67,82.37,89.67,16,16,23,0,0,49.98,48.8,2928,3072
95.24,70.28,97.93,9,2,8,0,0,65.54,64.4,3863,2137
69.55,100.0,96.35,13,10,29,0,0,67.01,66.65,3998,2002
71.09,92.09,92.86,15,8,26,0,1,60.8,63.04,3782,2218
70.49,52.03,78.79,18,9,26,0,0,28.9,26.86,1611,4389
69.66,84.3,87.67,16,18,21,0,0,51.48,52.71,3162,2838
84.31,96.47,98.09,14,4,14,0,0,79.78,80.27,4816,1184
77.04,90.58,92.69,15,15,11,0,0,64.69,67.02,4021,1979
66.64,100.0,100.0,12,17,24,0,1,66.64,71.94,4316,1684
71.05,97.06,95.71,14,10,27,0,0,66.01,66.25,3975,2025
67.1,81.42,87.31,10,7,18,1,1,47.7,51.51,3090,2910
92.57,99.94,99.69,13,1,10,0,1,92.22,97.15,5829,171
78.24,53.69,77.11,18,12,12,0,0,32.39,33.77,2026,3974
78.78,71.65,82.92,17,20,4,0,0,46.8,47.09,2825,3175
97.03,98.38,97.7,14,1,4,0,1,93.27,97.13,5827,173
71.99,77.92,88.98,16,10,27,0,0,49.91,50.11,3006,2994
85.59,56.9,96.84,8,14,3,0,0,47.16,47.56,2853,3147
85.06,94.52,94.43,15,14,0,0,0,75.92,76.44,4586,1414
87.99,56.03,77.04,18,4,13,0,-1,37.98,32.93,1975,4025
89.28,72.62,98.53,9,2,15,0,1,63.88,70.08,4204,1796
76.46,91.31,96.99,11,10,19,0,0,67.71,67.56,4053,1947
71.16,55.43,78.0,18,12,20,0,-1,30.76,27.63,1657,4343
72.19,96.67,96.85,12,17,12,0,0,67.59,66.65,3998,2002
65.84,97.81,97.6,12,20,22,0,1,62.86,66.41,3984,2016
82.39,98.75,100.0,14,17,1,0,0,81.36,80.06,4803,1197
88.57,84.17,90.7,16,2,7,0,1,67.62,73.38,4402,1598
78.11,90.85,98.71,11,7,23,0,0,70.05,70.56,4233,1767
85.49,53.98,97.96,8,13,3,0,0,45.21,43.44,2606,3394
86.41,71.5,81.77,17,3,14,0,-1,50.52,48.98,2938,3062
98.81,93.11,99.24,11,0,1,0,0,91.3,90.43,5425,575
90.68,96.56,97.29,12,1,9,0,-1,85.19,82.63,4957,1043
92.38,99.73,98.59,13,4,7,0,1,90.82,94.84,5690,310
87.84,83.53,90.13,16,5,5,0,0,66.14,67.06,4023,1977
86.15,73.67,98.13,9,2,19,0,-1,62.28,57.0,3419,2581
83.42,86.21,87.79,16,7,15,0,-1,63.14,57.04,3422,2578
73.95,59.03,87.33,9,7,14,1,0,38.12,37.97,2278,3722
81.61,72.17,82.44,17,8,14,0,1,48.55,53.68,3220,2780
67.86,38.4,96.89,7,14,28,0,-1,25.25,21.68,1300,4700
95.21,90.06,95.32,15,5,2,0,0,81.74,80.98,4858,1142
75.08,95.37,95.38,14,11,18,0,1,68.3,71.62,4297,1703
79.91,97.73,97.67,13,8,14,0,-1,76.28,68.26,4095,1905
68.98,83.83,98.81,10,12,27,0,0,57.14,57.1,3425,2575
93.68,96.75,98.18,14,3,7,0,0,88.99,90.54,5432,568
66.29,95.26,91.81,13,18,11,1,-1,57.97,52.93,3175,2825
91.25,55.1,78.26,18,9,0,0,0,39.35,39.59,2375,3625
80.0,69.54,82.85,17,12,8,0,0,46.09,44.45,2666,3334
63.13,35.66,96.11,7,18,27,0,0,21.64,21.02,1261,4739
80.62,72.32,81.33,17,1,29,0,-1,47.42,43.24,2594,3406
76.57,96.17,96.78,14,9,24,0,0,71.27,70.01,4200,1800
64.98,83.65,97.52,10,19,25,0,0,53.01,53.16,3189,2811
77.75,100.0,95.59,12,7,20,0,-1,74.32,71.74,4304,1696
81.71,92.09,97.73,11,4,20,0,0,73.54,74.91,4494,1506
63.86,54.47,97.36,8,20,20,0,0,33.86,34.45,2067,3933
61.73,30.0,86.45,7,9,25,1,-1,16.01,11.59,695,5305
72.94,84.94,87.87,16,11,23,0,1,54.44,55.73,3343,2657
75.99,95.15,98.35,11,10,23,0,-1,71.11,66.24,3974,2026
79.43,83.39,98.94,10,4,25,0,0,65.53,64.26,3855,2145
