Production_End_Time,Batch_PartNo,Part_No,Part_SLNo,Availability,Performance,Quality,Current_OEE,Current_Speed_pct,Prev_Speed_pct,Speed_Delta,DownTime_sec,OEE_Delta,_pos_ratio,Planned_Prod_Duration,Production_Duration,Production_Delay_sec,Predicted_OEE_t1,Recommended_Speed,OEE_lag1,OEE_roll5_mean,OEE_trend3,OEE_min5,OEE_max5,OEE_range5
2026-01-04 20:00:43,LOW_b7,LOW_b7_6,6,18,74,5,1,90,90,0,0,-2,1.0,360,1592,1232,1,80,3,0.8,1.0,0,3,3
2026-01-04 20:02:01,LOW_b8,LOW_b8_1,1,42,37,44,7,40,40,0,0,0,0.0,60,37,0,6,60,7,7.0,0.0,7,7,0
2026-01-04 20:03:08,LOW_b8,LOW_b8_2,2,41,36,44,6,20,40,-20,0,-1,0.1429,120,55,0,6,60,7,6.5,0.0,6,7,1
2026-01-04 20:04:35,LOW_b8,LOW_b8_3,3,42,29,46,6,20,20,0,0,0,0.2857,180,73,0,5,40,6,6.3,-1.0,6,7,1
2026-01-04 20:05:42,LOW_b8,LOW_b8_4,4,42,28,46,5,20,20,0,0,-1,0.4286,240,91,0,4,80,6,6.0,-2.0,5,7,2
2026-01-04 20:06:48,LOW_b8,LOW_b8_5,5,41,22,45,4,20,20,0,0,-1,0.5714,300,109,0,4,60,5,5.6,-3.0,4,7,3
2026-01-04 20:08:17,LOW_b8,LOW_b8_6,6,41,20,46,4,20,20,0,0,0,0.7143,360,127,0,3,80,4,5.0,-2.0,4,6,2
2026-01-04 20:09:32,LOW_b8,LOW_b8_7,7,40,19,45,3,20,20,0,0,-1,0.8571,420,145,0,3,80,4,4.4,-3.0,3,6,3
2026-01-04 20:10:57,LOW_b8,LOW_b8_8,8,39,18,45,3,20,20,0,0,0,1.0,480,163,0,3,40,3,3.8,-2.0,3,5,2
2026-01-04 20:12:10,MED_HIGH_b9,MED_HIGH_b9_1,1,97,54,100,52,20,20,0,0,0,0.0,60,18,0,50,60,52,52.0,0.0,52,52,0
2026-01-04 20:13:30,MED_HIGH_b9,MED_HIGH_b9_2,2,96,52,100,50,10,20,-10,0,-2,0.1429,120,27,0,6,80,52,51.0,0.0,50,52,2
2026-01-04 20:14:53,MED_HIGH_b9,MED_HIGH_b9_3,3,52,25,49,6,10,10,0,125,-44,0.2857,180,161,0,0,20,50,36.0,-46.0,6,52,46
2026-01-04 20:16:00,MED_HIGH_b9,MED_HIGH_b9_4,4,25,11,36,0,10,10,0,259,-6,0.4286,240,429,189,43,20,6,27.0,-52.0,0,52,52
2026-01-04 20:17:14,MED_HIGH_b9,MED_HIGH_b9_5,5,91,50,96,43,10,10,0,0,43,0.5714,300,438,138,43,80,0,30.2,-9.0,0,52,52
2026-01-04 20:18:22,MED_HIGH_b9,MED_HIGH_b9_6,6,88,54,92,43,10,10,0,0,0,0.7143,360,447,87,40,80,43,28.4,-7.0,0,50,50
2026-01-04 20:19:36,MED_HIGH_b9,MED_HIGH_b9_7,7,94,43,100,40,10,10,0,0,-3,0.8571,420,456,36,39,60,43,26.4,34.0,0,43,43
2026-01-04 20:20:37,MED_HIGH_b9,MED_HIGH_b9_8,8,94,42,100,39,10,10,0,0,-1,1.0,480,465,0,39,60,40,33.0,39.0,0,43,43
2026-01-04 20:21:52,TOP_b10,TOP_b10_1,1,100,68,100,68,20,20,0,0,0,0.0,60,18,0,66,80,68,68.0,0.0,68,68,0
2026-01-04 20:23:04,TOP_b10,TOP_b10_2,2,100,66,100,66,70,20,50,0,-2,0.25,120,83,0,68,80,68,67.0,0.0,66,68,2
2026-01-04 20:24:12,TOP_b10,TOP_b10_3,3,100,68,100,68,70,70,0,0,2,0.5,180,148,0,88,80,66,67.3,0.0,66,68,2
2026-01-04 20:25:21,TOP_b10,TOP_b10_4,4,100,88,100,88,70,70,0,0,20,0.75,240,213,0,92,80,68,72.5,20.0,66,88,22
2026-01-04 20:26:25,TOP_b10,TOP_b10_5,5,100,92,100,92,70,70,0,0,4,1.0,300,278,0,92,80,88,76.4,24.0,66,92,26
2026-01-04 20:27:26,MED_LOW_b11,MED_LOW_b11_1,1,56,44,61,15,40,40,0,0,0,0.0,60,37,0,14,60,15,15.0,0.0,15,15,0
2026-01-04 20:28:42,MED_LOW_b11,MED_LOW_b11_2,2,56,43,59,14,10,40,-30,0,-1,0.125,120,46,0,12,80,15,14.5,0.0,14,15,1
2026-01-04 20:29:47,MED_LOW_b11,MED_LOW_b11_3,3,49,51,47,12,10,10,0,0,-2,0.25,180,55,0,9,60,14,13.7,-3.0,12,15,3
2026-01-04 20:30:49,MED_LOW_b11,MED_LOW_b11_4,4,57,26,64,9,90,10,80,0,-3,0.375,240,139,0,12,60,12,12.5,-6.0,9,15,6
2026-01-04 20:32:16,MED_LOW_b11,MED_LOW_b11_5,5,56,34,62,12,90,90,0,0,3,0.5,300,223,0,6,40,9,12.4,-3.0,9,15,6
2026-01-04 20:33:34,MED_LOW_b11,MED_LOW_b11_6,6,34,85,22,6,20,90,-70,0,-6,0.625,360,241,0,11,60,12,10.6,-8.0,6,14,8
2026-01-04 20:34:47,MED_LOW_b11,MED_LOW_b11_7,7,45,62,41,11,20,20,0,0,5,0.75,420,259,0,12,60,6,10.0,-1.0,6,12,6
2026-01-04 20:36:16,MED_LOW_b11,MED_LOW_b11_8,8,52,44,54,12,20,20,0,0,1,0.875,480,277,0,10,60,11,10.0,3.0,6,12,6
2026-01-04 20:37:23,MED_LOW_b11,MED_LOW_b11_9,9,55,31,60,10,20,20,0,0,-2,1.0,540,295,0,10,40,12,10.2,-2.0,6,12,6
2026-01-04 20:38:33,MED_b12,MED_b12_1,1,77,48,86,32,30,30,0,0,0,0.0,60,28,0,30,60,32,32.0,0.0,32,32,0
2026-01-04 20:39:33,MED_b12,MED_b12_2,2,69,63,70,30,30,30,0,0,-2,0.1,120,56,0,29,40,32,31.0,0.0,30,32,2
2026-01-04 20:40:36,MED_b12,MED_b12_3,3,68,62,70,29,30,30,0,0,-1,0.2,180,84,0,30,40,30,30.3,-3.0,29,32,3
2026-01-04 20:41:40,MED_b12,MED_b12_4,4,76,46,85,30,40,30,10,0,1,0.3,240,121,0,29,60,29,30.2,-2.0,29,32,3
2026-01-04 20:43:08,MED_b12,MED_b12_5,5,68,61,69,29,40,40,0,0,-1,0.4,300,158,0,27,60,30,30.0,-3.0,29,32,3
2026-01-04 20:44:13,MED_b12,MED_b12_6,6,67,59,69,27,40,40,0,0,-2,0.5,360,195,0,27,40,29,29.0,-3.0,27,30,3
2026-01-04 20:45:32,MED_b12,MED_b12_7,7,67,58,69,27,40,40,0,0,0,0.6,420,232,0,33,40,27,28.4,-2.0,27,30,3
2026-01-04 20:47:01,MED_b12,MED_b12_8,8,71,55,85,33,90,40,50,0,6,0.7,480,316,0,17,40,27,29.2,3.0,27,33,6
2026-01-04 20:48:04,MED_b12,MED_b12_9,9,52,47,70,17,90,90,0,64,-16,0.8,540,464,0,7,80,33,26.6,-12.0,17,33,16
2026-01-04 20:49:12,MED_b12,MED_b12_10,10,28,42,58,7,90,90,0,500,-10,0.9,600,1048,448,6,60,17,22.2,-20.0,7,33,26
2026-01-04 20:50:18,MED_b12,MED_b12_11,11,24,50,50,6,90,90,0,227,-1,1.0,660,1359,699,6,40,7,18.0,-21.0,6,33,27
2026-01-04 20:51:20,TOP_b13,TOP_b13_1,1,100,100,98,98,90,90,0,0,0,0.0,60,84,24,12,80,98,98.0,0.0,98,98,0
2026-01-04 20:52:21,TOP_b13,TOP_b13_2,2,59,33,63,12,90,90,0,152,-86,0.125,120,320,200,1,40,98,55.0,0.0,12,98,86
2026-01-04 20:53:26,TOP_b13,TOP_b13_3,3,23,25,25,1,30,90,-60,60,-11,0.25,180,408,228,89,20,12,37.0,-97.0,1,98,97
2026-01-04 20:54:43,TOP_b13,TOP_b13_4,4,97,94,98,89,30,30,0,0,88,0.375,240,436,196,75,80,1,50.0,-9.0,1,98,97
2026-01-04 20:56:13,TOP_b13,TOP_b13_5,5,95,83,96,75,30,30,0,0,-14,0.5,300,464,164,61,80,89,55.0,-23.0,1,98,97
2026-01-04 20:57:30,TOP_b13,TOP_b13_6,6,93,70,94,61,30,30,0,0,-14,0.625,360,492,132,54,80,75,47.6,49.0,1,89,88
2026-01-04 20:58:48,TOP_b13,TOP_b13_7,7,91,65,92,54,30,30,0,0,-7,0.75,420,520,100,65,80,61,56.0,53.0,1,89,88
2026-01-04 20:59:52,TOP_b13,TOP_b13_8,8,100,65,100,65,30,30,0,0,11,0.875,480,548,68,64,80,54,68.8,-24.0,54,89,35
2026-01-04 21:01:20,TOP_b13,TOP_b13_9,9,100,64,100,64,30,30,0,0,-1,1.0,540,576,36,64,80,65,63.8,-11.0,54,75,21
2026-01-04 21:02:31,LOW_b14,LOW_b14_1,1,42,37,44,7,40,40,0,0,0,0.0,60,37,0,6,40,7,7.0,0.0,7,7,0
2026-01-04 21:03:50,LOW_b14,LOW_b14_2,2,41,36,43,6,40,40,0,0,-1,0.1111,120,74,0,6,60,7,6.5,0.0,6,7,1
2026-01-04 21:05:17,LOW_b14,LOW_b14_3,3,41,35,44,6,40,40,0,0,0,0.2222,180,111,0,6,40,6,6.3,-1.0,6,7,1
2026-01-04 21:06:22,LOW_b14,LOW_b14_4,4,41,34,43,6,30,40,-10,0,0,0.3333,240,139,0,0,40,6,6.2,-1.0,6,7,1
2026-01-04 21:07:47,LOW_b14,LOW_b14_5,5,14,8,22,0,30,30,0,300,-6,0.4444,300,467,167,0,20,6,5.0,-7.0,0,7,7
2026-01-04 21:09:14,LOW_b14,LOW_b14_6,6,8,18,11,0,30,30,0,149,0,0.5556,360,644,284,0,20,0,3.6,-6.0,0,6,6
2026-01-04 21:10:39,LOW_b14,LOW_b14_7,7,10,8,9,0,40,30,10,76,0,0.6667,420,757,337,0,20,0,2.4,-6.0,0,6,6
2026-01-04 21:12:06,LOW_b14,LOW_b14_8,8,7,7,7,0,40,40,0,215,0,0.7778,480,1009,529,7,20,0,1.2,-6.0,0,6,6
2026-01-04 21:13:13,LOW_b14,LOW_b14_9,9,47,30,50,7,40,40,0,0,7,0.8889,540,1046,506,11,20,0,1.4,7.0,0,7,7
2026-01-04 21:14:24,LOW_b14,LOW_b14_10,10,54,37,57,11,40,40,0,0,4,1.0,600,1083,483,11,40,7,3.6,11.0,0,11,11
2026-01-04 21:15:34,MED_b15,MED_b15_1,1,79,60,84,39,40,40,0,0,28,0.0,60,37,0,33,60,39,39.0,0.0,39,39,0
2026-01-04 21:16:54,MED_b15,MED_b15_2,2,76,54,82,33,20,40,-20,0,-6,0.1429,120,55,0,30,60,39,36.0,0.0,33,39,6
2026-01-04 21:18:20,MED_b15,MED_b15_3,3,76,46,85,30,20,20,0,0,-3,0.2857,180,73,0,29,80,33,34.0,-9.0,30,39,9
2026-01-04 21:19:23,MED_b15,MED_b15_4,4,76,45,84,29,20,20,0,0,-1,0.4286,240,91,0,24,60,30,32.8,-10.0,29,39,10
2026-01-04 21:20:53,MED_b15,MED_b15_5,5,75,38,85,24,50,20,30,0,-5,0.5714,300,137,0,27,80,29,31.0,-15.0,24,39,15
2026-01-04 21:21:56,MED_b15,MED_b15_6,6,72,43,90,27,50,50,0,0,3,0.7143,360,183,0,26,60,24,28.6,-6.0,24,33,9
2026-01-04 21:23:19,MED_b15,MED_b15_7,7,67,57,68,26,50,50,0,0,-1,0.8571,420,229,0,26,40,27,27.2,-4.0,24,30,6
2026-01-04 21:24:38,MED_b15,MED_b15_8,8,65,62,65,26,50,50,0,0,0,1.0,480,275,0,26,60,26,26.4,-3.0,24,29,5
2026-01-04 21:26:00,HIGH_b16,HIGH_b16_1,1,100,96,100,96,70,70,0,0,0,0.0,60,65,5,94,80,96,96.0,0.0,96,96,0
2026-01-04 21:27:11,HIGH_b16,HIGH_b16_2,2,100,94,100,94,70,70,0,0,-2,0.2,120,130,10,93,80,96,95.0,0.0,94,96,2
2026-01-04 21:28:30,HIGH_b16,HIGH_b16_3,3,100,93,100,93,70,70,0,0,-1,0.4,180,195,15,91,80,94,94.3,-3.0,93,96,3
2026-01-04 21:29:53,HIGH_b16,HIGH_b16_4,4,100,91,100,91,70,70,0,0,-2,0.6,240,260,20,78,80,93,93.5,-5.0,91,96,5
2026-01-04 21:31:14,HIGH_b16,HIGH_b16_5,5,91,100,86,78,70,70,0,0,-13,0.8,300,325,25,78,60,91,90.4,-18.0,78,96,18
2026-01-04 21:32:36,HIGH_b16,HIGH_b16_6,6,91,100,86,78,70,70,0,0,0,1.0,360,390,30,78,60,78,86.8,-16.0,78,94,16
2026-01-04 21:33:57,MED_b17,MED_b17_1,1,76,54,83,34,40,40,0,0,0,0.0,60,37,0,33,60,34,34.0,0.0,34,34,0
2026-01-04 21:35:16,MED_b17,MED_b17_2,2,76,53,82,33,40,40,0,0,-1,0.1667,120,74,0,32,60,34,33.5,0.0,33,34,1
2026-01-04 21:36:25,MED_b17,MED_b17_3,3,76,51,81,32,70,40,30,0,-1,0.3333,180,139,0,30,60,33,33.0,-2.0,32,34,2
2026-01-04 21:37:50,MED_b17,MED_b17_4,4,75,50,81,30,70,70,0,0,-2,0.5,240,204,0,31,60,32,32.2,-4.0,30,34,4
2026-01-04 21:39:00,MED_b17,MED_b17_5,5,71,56,77,31,70,70,0,0,1,0.6667,300,269,0,30,80,30,32.0,-3.0,30,34,4
2026-01-04 21:40:21,MED_b17,MED_b17_6,6,69,62,70,30,70,70,0,0,-1,0.8333,360,334,0,28,60,31,31.2,-3.0,30,33,3
2026-01-04 21:41:46,MED_b17,MED_b17_7,7,64,71,62,28,70,70,0,0,-2,1.0,420,399,0,28,60,30,30.2,-4.0,28,32,4
2026-01-04 21:42:48,TOP_b18,TOP_b18_1,1,100,67,100,67,20,20,0,0,0,0.0,60,18,0,66,80,67,67.0,0.0,67,67,0
2026-01-04 21:44:09,TOP_b18,TOP_b18_2,2,100,66,100,66,20,20,0,0,-1,0.1667,120,36,0,65,80,67,66.5,0.0,66,67,1
2026-01-04 21:45:10,TOP_b18,TOP_b18_3,3,100,65,100,65,40,20,20,0,-1,0.3333,180,73,0,63,80,66,66.0,-2.0,65,67,2
2026-01-04 21:46:29,TOP_b18,TOP_b18_4,4,100,63,100,63,40,40,0,0,-2,0.5,240,110,0,67,80,65,65.2,-4.0,63,67,4
2026-01-04 21:47:43,TOP_b18,TOP_b18_5,5,100,67,100,67,40,40,0,0,4,0.6667,300,147,0,66,80,63,65.6,0.0,63,67,4
2026-01-04 21:49:05,TOP_b18,TOP_b18_6,6,100,66,100,66,40,40,0,0,-1,0.8333,360,184,0,70,80,67,65.4,0.0,63,67,4
2026-01-04 21:50:17,TOP_b18,TOP_b18_7,7,100,70,100,70,40,40,0,0,4,1.0,420,221,0,70,80,66,66.2,5.0,63,70,7
2026-01-04 21:51:22,MED_LOW_b19,MED_LOW_b19_1,1,58,30,65,11,10,10,0,0,0,0.0,60,9,0,10,60,11,11.0,0.0,11,11,0
2026-01-04 21:52:39,MED_LOW_b19,MED_LOW_b19_2,2,57,28,64,10,90,10,80,0,-1,0.1667,120,93,0,13,60,11,10.5,0.0,10,11,1
2026-01-04 21:53:53,MED_LOW_b19,MED_LOW_b19_3,3,56,36,62,13,90,90,0,0,3,0.3333,180,177,0,14,40,10,11.3,2.0,10,13,3
2026-01-04 21:55:14,MED_LOW_b19,MED_LOW_b19_4,4,53,47,55,14,90,90,0,0,1,0.5,240,261,21,12,60,13,12.0,3.0,10,14,4
2026-01-04 21:56:44,MED_LOW_b19,MED_LOW_b19_5,5,46,63,42,12,90,90,0,0,-2,0.6667,300,345,45,6,40,14,12.0,1.0,10,14,4
2026-01-04 21:58:03,MED_LOW_b19,MED_LOW_b19_6,6,32,82,22,6,90,90,0,0,-6,0.8333,360,429,69,6,40,12,11.0,-4.0,6,14,8
2026-01-04 21:59:29,MED_LOW_b19,MED_LOW_b19_7,7,33,81,22,6,90,90,0,0,0,1.0,420,513,93,6,80,6,10.2,-7.0,6,14,8
2026-01-04 22:00:37,HIGH_b20,HIGH_b20_1,1,100,66,100,66,30,30,0,0,0,0.0,60,28,0,65,80,66,66.0,0.0,66,66,0
2026-01-04 22:02:01,HIGH_b20,HIGH_b20_2,2,100,65,100,65,30,30,0,0,-1,0.0909,120,56,0,65,80,66,65.5,0.0,65,66,1
2026-01-04 22:03:21,HIGH_b20,HIGH_b20_3,3,100,65,100,65,30,30,0,0,0,0.1818,180,84,0,65,80,65,65.3,-1.0,65,66,1
2026-01-04 22:04:28,HIGH_b20,HIGH_b20_4,4,100,65,100,65,80,30,50,0,0,0.2727,240,159,0,69,80,65,65.2,-1.0,65,66,1
2026-01-04 22:05:56,HIGH_b20,HIGH_b20_5,5,100,69,100,69,80,80,0,0,4,0.3636,300,234,0,90,80,65,66.0,3.0,65,69,4
2026-01-04 22:07:08,HIGH_b20,HIGH_b20_6,6,96,100,94,90,30,80,-50,0,21,0.4545,360,262,0,83,80,69,70.8,25.0,65,90,25
2026-01-04 22:08:10,HIGH_b20,HIGH_b20_7,7,100,83,100,83,30,30,0,0,-7,0.5455,420,290,0,61,80,90,74.4,18.0,65,90,25
2026-01-04 22:09:23,HIGH_b20,HIGH_b20_8,8,100,61,100,61,60,30,30,0,-22,0.6364,480,346,0,60,80,83,73.6,-4.0,61,90,29
2026-01-04 22:10:35,HIGH_b20,HIGH_b20_9,9,100,60,100,60,60,60,0,0,-1,0.7273,540,402,0,81,80,61,72.6,-9.0,60,90,30
2026-01-04 22:12:02,HIGH_b20,HIGH_b20_10,10,100,81,100,81,60,60,0,0,21,0.8182,600,458,0,55,60,60,75.0,-9.0,60,90,30
2026-01-04 22:13:17,HIGH_b20,HIGH_b20_11,11,86,64,100,55,60,60,0,177,-26,0.9091,660,691,31,79,80,81,68.0,-28.0,55,83,28
2026-01-04 22:14:26,HIGH_b20,HIGH_b20_12,12,100,79,100,79,60,60,0,0,24,1.0,720,747,27,79,80,55,67.2,18.0,55,81,26
2026-01-04 22:15:54,MED_HIGH_b21,MED_HIGH_b21_1,1,75,100,69,52,90,90,0,0,0,0.0,60,84,24,51,80,52,52.0,0.0,52,52,0
2026-01-04 22:17:02,MED_HIGH_b21,MED_HIGH_b21_2,2,75,100,68,51,90,90,0,0,-1,0.1,120,168,48,51,60,52,51.5,0.0,51,52,1
2026-01-04 22:18:14,MED_HIGH_b21,MED_HIGH_b21_3,3,74,100,68,51,90,90,0,0,0,0.2,180,252,72,50,60,51,51.3,-1.0,51,52,1
2026-01-04 22:19:40,MED_HIGH_b21,MED_HIGH_b21_4,4,74,100,68,50,70,90,-20,0,-1,0.3,240,317,77,60,60,51,51.0,-2.0,50,52,2
2026-01-04 22:20:59,MED_HIGH_b21,MED_HIGH_b21_5,5,81,95,78,60,70,70,0,0,10,0.4,300,382,82,58,60,50,52.8,8.0,50,60,10
2026-01-04 22:22:17,MED_HIGH_b21,MED_HIGH_b21_6,6,80,95,77,58,70,70,0,0,-2,0.5,360,447,87,60,60,60,54.0,7.0,50,60,10
2026-01-04 22:23:19,MED_HIGH_b21,MED_HIGH_b21_7,7,84,84,85,60,70,70,0,0,2,0.6,420,512,92,60,60,58,55.8,9.0,50,60,10
2026-01-04 22:24:20,MED_HIGH_b21,MED_HIGH_b21_8,8,84,83,85,60,30,70,-40,0,0,0.7,480,540,60,59,60,60,57.6,10.0,50,60,10
